file;name;description;Background;Base;Eye;Hat;Cloth
1.png;Duck Friends #1;1000 PFP collections by Chia for Chia.;Purple;Yellow Body;Visor Red;Green Mohawks;Blue Tank Top
2.png;Duck Friends #2;1000 PFP collections by Chia for Chia.;Yellow;Green Body;Relaxed Gold;Beanie Red;Blue Sport
3.png;Duck Friends #3;1000 PFP collections by Chia for Chia.;Yellow;Blue Body;Darkness Clan Visor Pink;Green Mohawks;Red Scarf
4.png;Duck Friends #4;1000 PFP collections by Chia for Chia.;Green;White Body;Purple Angry;None Hat;None Cloth
5.png;Duck Friends #5;1000 PFP collections by Chia for Chia.;Purple;Blue Body;Visor Gold;Army Bucket;Army
6.png;Duck Friends #6;1000 PFP collections by Chia for Chia.;Purple;Green Body;Relaxed Green;Leaf;Army
7.png;Duck Friends #7;1000 PFP collections by Chia for Chia.;White;Green Body;Blue Rimmed Glasses;Headphone;Sweater Wave
8.png;Duck Friends #8;1000 PFP collections by Chia for Chia.;Orange;Green Body;Green Eye;Green Mohawks;Business Shirt Red
9.png;Duck Friends #9;1000 PFP collections by Chia for Chia.;Purple;Green Body;Darkness Clan Visor Purple;Cowboy;Joker
10.png;Duck Friends #10;1000 PFP collections by Chia for Chia.;Purple;Yellow Body;Rainbow;Lincoln Red;White Tank Top
11.png;Duck Friends #11;1000 PFP collections by Chia for Chia.;Red;White Body;3D Glasses;None Hat;Cyberpunk Jacket
12.png;Duck Friends #12;1000 PFP collections by Chia for Chia.;Red;Yellow Body;Red Eye;Backwards XCH;Black Hoodie
13.png;Duck Friends #13;1000 PFP collections by Chia for Chia.;Yellow;Yellow Body;Pink Eye;Leaf;Army
14.png;Duck Friends #14;1000 PFP collections by Chia for Chia.;Orange;Green Body;Red Eye;Halo;Shirt Stripes Green
15.png;Duck Friends #15;1000 PFP collections by Chia for Chia.;Yellow;White Body;Relaxed Green;Viking Helmet;None Cloth
16.png;Duck Friends #16;1000 PFP collections by Chia for Chia.;Red;Blue Body;Darkness Clan Visor Pink;Lincoln;Red Scarf
17.png;Duck Friends #17;1000 PFP collections by Chia for Chia.;White;Yellow Body;Side Robot;Rice Hat;Cyberpunk Jacket
18.png;Duck Friends #18;1000 PFP collections by Chia for Chia.;Green;Blue Body;Rainbow;Lincoln;None Cloth
19.png;Duck Friends #19;1000 PFP collections by Chia for Chia.;Red;White Body;Side Robot Laser;Chia Coin;Business Shirt Red
20.png;Duck Friends #20;1000 PFP collections by Chia for Chia.;Green;Green Body;Sunglasses;Leaf;Jean Jacket
21.png;Duck Friends #21;1000 PFP collections by Chia for Chia.;Purple;Yellow Body;Blue Rimmed Glasses;Backwards Red;Army
22.png;Duck Friends #22;1000 PFP collections by Chia for Chia.;Red;Green Body;Green Eye;Backwards XCH;Black Shirt
